Species	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
clusterset587	7	7	7	7	2	-1	1	7	7	7	7
clusterset539	7	5	5	5	7	7	7	7	7	7	7
clusterset537	-1	0	2	2	0	4	0	4	4	4	4
clusterset528	3	5	3	5	5	3	5	5	5	5	5
clusterset520	-1	7	-1	7	-1	0	-1	7	7	7	7
clusterset511	0	2	0	2	4	-1	-1	-1	4	4	4
clusterset502	3	2	7	7	7	7	-1	7	7	7	7
clusterset386	3	2	2	2	2	3	3	3	2	2	3
clusterset1060	-1	3	3	3	2	2	2	2	2	2	2
clusterset1050	7	-1	0	7	7	7	7	7	7	7	7
clusterset1048	-1	7	0	7	7	7	-1	7	7	7	7
clusterset1042	3	7	7	7	7	7	7	7	7	7	3
clusterset1040	-1	-1	1	1	4	0	-1	1	1	1	1
clusterset1037	2	2	0	2	4	0	2	2	2	2	2
clusterset1032	-1	-1	-1	-1	2	2	2	2	2	2	2
clusterset1021	3	3	0	3	2	0	4	3	3	3	3
clusterset1015	2	2	2	2	2	2	2	2	2	2	2
clusterset1010	4	4	0	4	4	1	1	1	4	4	4
clusterset1005	-1	-1	-1	-1	7	3	-1	3	7	7	7
clusterset1011	0	0	1	4	4	4	0	4	4	4	4
clusterset1016	-1	-1	0	6	6	6	-1	6	6	6	6
clusterset1018	-1	0	-1	4	4	4	-1	4	4	4	4
clusterset1024	-1	1	0	1	4	4	4	4	4	1	1
clusterset1033	-1	-1	-1	-1	7	7	7	7	7	7	7
clusterset1036	-1	2	2	2	-1	2	3	3	2	2	2
clusterset1038	7	3	3	3	7	7	-1	7	7	7	7
clusterset1041	2	2	0	2	2	4	4	2	2	2	2
clusterset1043	0	2	0	2	0	0	0	2	2	2	2
clusterset1045	7	7	7	7	5	5	5	5	5	7	7
clusterset1049	-1	1	0	6	-1	6	7	6	6	6	6
clusterset1051	-1	4	4	4	-1	4	2	2	2	4	4
clusterset1057	-1	5	5	5	-1	5	-1	5	5	5	5
clusterset1059	5	5	-1	5	-1	5	5	5	5	5	5
clusterset1063	0	0	4	4	0	0	1	4	4	4	4
clusterset497	5	-1	5	5	-1	0	3	5	5	5	5
clusterset501	7	3	3	3	7	3	3	3	7	7	7
clusterset503	0	4	4	4	0	1	0	1	4	4	4
clusterset525	3	-1	-1	-1	2	2	-1	2	2	2	3
clusterset538	-1	-1	2	2	2	0	1	1	2	2	2
clusterset586	3	-1	-1	-1	0	5	3	5	5	5	5
clusterset588	-1	1	0	2	2	2	2	2	2	2	2
clusterset592	6	1	0	6	7	6	6	6	6	6	6
clusterset596	0	0	1	1	1	1	1	1	1	1	4
clusterset598	3	3	3	3	-1	-1	-1	-1	-1	3	3
clusterset603	-1	-1	7	7	-1	-1	7	7	7	7	7
clusterset605	-1	-1	4	4	-1	2	-1	2	2	2	2
clusterset614	0	-1	0	1	4	4	4	4	4	1	1
clusterset622	-1	0	-1	2	2	2	2	2	2	2	2
clusterset624	3	-1	-1	-1	-1	4	4	4	4	4	3
clusterset626	0	3	0	3	7	7	2	7	7	7	7
clusterset628	1	2	2	2	4	4	4	4	4	4	1
clusterset634	0	0	4	4	2	4	2	2	2	2	2
clusterset639	-1	0	0	4	0	4	0	4	4	4	4
clusterset645	-1	1	0	1	0	4	1	4	4	1	1
clusterset647	7	7	0	7	-1	0	7	7	7	7	7
clusterset649	-1	-1	-1	-1	1	1	1	1	1	1	1
clusterset655	-1	0	1	1	4	-1	-1	-1	4	1	1
clusterset657	0	4	4	4	0	4	0	4	4	4	4
clusterset661	5	5	5	5	-1	-1	-1	-1	-1	5	5
clusterset663	0	3	3	3	-1	3	4	3	3	3	3
clusterset665	-1	4	-1	4	-1	2	-1	2	2	4	4
clusterset667	-1	0	1	1	0	-1	4	4	1	1	1
clusterset672	5	7	7	7	7	7	7	7	7	7	5
clusterset674	2	-1	-1	-1	-1	1	1	1	1	1	4
clusterset676	4	4	4	4	2	2	2	2	2	4	4
clusterset678	7	0	7	7	0	0	0	7	7	7	7
clusterset680	-1	0	4	4	4	4	4	4	4	4	4
clusterset685	-1	0	4	4	0	1	1	1	4	4	4
clusterset690	-1	3	3	3	-1	-1	3	3	3	3	3
clusterset728	-1	-1	7	7	7	3	3	3	3	7	7
clusterset738	0	-1	7	7	-1	-1	2	7	7	7	7
clusterset745	0	3	3	3	-1	4	-1	4	4	3	3
clusterset753	-1	0	1	1	4	-1	-1	1	1	1	1
clusterset764	-1	4	4	4	-1	2	4	2	2	4	4
clusterset811	4	4	4	4	-1	-1	-1	-1	-1	4	4
clusterset932	-1	1	-1	4	0	-1	0	4	4	4	4
clusterset935	2	-1	-1	-1	-1	4	4	4	4	4	2
clusterset951	-1	1	0	1	-1	4	-1	4	1	1	1
clusterset963	-1	1	0	1	-1	1	-1	1	1	1	1
clusterset969	1	2	0	2	2	2	2	2	2	2	1
clusterset972	-1	-1	-1	-1	4	1	1	1	4	4	4
clusterset978	3	2	2	2	3	3	3	3	3	3	3
clusterset981	2	0	1	1	4	4	1	4	4	1	4
clusterset984	-1	0	1	1	-1	2	2	2	2	2	2
clusterset993	7	3	3	3	3	3	3	3	3	3	7
clusterset998	4	-1	-1	-1	1	1	1	1	1	1	4
clusterset999	-1	4	4	4	4	4	4	4	4	4	4
clusterset1001	-1	0	7	7	7	7	7	7	7	7	7
clusterset1000	0	2	2	2	4	4	4	4	4	4	4
clusterset996	-1	7	7	7	-1	7	-1	7	7	7	7
clusterset990	-1	0	2	2	4	4	4	4	4	2	2
clusterset987	-1	1	1	1	0	0	0	4	1	1	1
clusterset975	3	4	4	4	4	4	4	4	4	4	3
clusterset966	-1	0	4	4	1	1	1	1	1	1	1
clusterset960	4	4	4	4	2	4	2	2	2	4	4
clusterset957	2	3	3	3	7	-1	-1	-1	7	7	7
clusterset954	-1	-1	4	4	-1	4	4	4	4	4	4
clusterset948	7	3	3	3	7	7	7	7	7	7	7
clusterset945	-1	-1	-1	-1	-1	5	5	5	5	5	5
clusterset942	7	7	7	7	7	3	3	3	7	7	7
clusterset939	0	5	3	5	5	5	5	5	5	5	5
clusterset793	-1	-1	-1	-1	4	1	1	1	4	1	1
clusterset767	-1	2	2	2	4	4	-1	4	4	2	2
clusterset757	-1	2	-1	2	-1	0	-1	4	4	4	4
clusterset749	0	3	3	3	3	3	6	6	6	6	6
clusterset742	-1	2	0	2	-1	-1	1	2	2	2	2
clusterset734	2	3	3	3	3	3	3	3	3	3	2
clusterset1035	-1	3	0	3	7	3	7	7	7	7	7
clusterset756	3	3	3	3	2	3	2	3	3	3	3
clusterset787	0	-1	-1	-1	2	2	3	3	2	2	3
clusterset806	7	-1	-1	-1	6	-1	6	6	6	6	7
clusterset956	7	0	7	7	3	-1	3	3	7	7	7
clusterset959	3	2	2	2	2	2	2	2	2	2	3
clusterset965	-1	4	0	4	-1	-1	4	4	4	4	4
clusterset968	2	7	7	7	2	7	0	7	7	7	7
clusterset974	0	4	4	4	4	0	4	4	4	4	4
clusterset980	-1	0	2	2	2	4	-1	4	2	2	2
clusterset986	7	3	3	3	4	3	4	3	3	3	7
clusterset989	-1	0	1	1	-1	1	1	1	1	1	1
clusterset1007	-1	-1	0	2	2	4	-1	2	2	2	2
clusterset522	1	-1	-1	-1	-1	4	-1	4	4	4	4
clusterset686	2	2	0	2	-1	3	3	3	3	2	2
clusterset1003	-1	2	1	2	2	2	2	2	2	2	2
clusterset1030	-1	7	7	7	7	-1	-1	-1	7	7	7
clusterset600	7	2	2	2	2	2	2	2	2	2	6
clusterset1014	0	7	7	7	7	7	0	7	7	7	7
clusterset783	3	7	0	7	2	2	7	7	7	7	7
