Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSBTAG00000014296	-0.2987	-0.148039	0.282289	0.282288	-0.366347	0.174272	0.0742383	-0.27189	0.119968	0.290244	0.45454	-0.406092	0.197276	-0.384047
ENSBTAG00000014300	-1.32669	-0.0294157	0.112474	0.300912	0.567838	0.015095	0.359786	1.09612	0.277206	-0.455201	0.447481	-0.455201	-0.455201	-0.455201
ENSBTAG00000014306	0.318592	0.12867	0.308335	0.100284	0.100284	0.212441	-1.1686	-0.306666	0.471177	0.031153	0.0399247	-0.418824	0.509514	-0.326279
ENSBTAG00000014309	0.648862	-0.680801	-0.489013	-0.257963	-0.0484267	0.339291	0.488053	1.01	-0.887913	-0.18116	0.0147687	0.355318	-0.155506	-0.155506
ENSBTAG00000014312	-0.136586	-0.19736	-0.00892233	0.466783	0.155237	0.760118	-1.03927	-1.02882	0.352226	0.728847	0.0441393	0.795737	-1.02882	0.136684
ENSBTAG00000014320	0.298869	1.62439	-0.253874	-0.253874	-0.715974	-0.715974	0.016436	0.222199	-0.314279	0.0519247	0.446514	0.222199	0.0519247	-0.680482
ENSBTAG00000014322	0.537283	0.575059	-0.269507	0.0223167	0.462902	-0.05997	-1.26808	-0.686026	-0.0373903	0.132884	0.451388	0.778789	-0.490097	-0.149548
ENSBTAG00000014335	-0.342124	-0.155584	-0.125985	0.573636	0.692366	0.523973	-1.16628	-0.584829	-0.744686	0.608646	1.02325	0.773092	0.720129	-1.7956
ENSBTAG00000014339	0.419503	-1.37226	-0.0818573	0.262835	0.847507	-0.00747533	-0.0682493	-0.334192	-0.484853	0.221899	0.417828	-0.401082	0.576475	0.00392533
ENSBTAG00000014340	-0.0397003	0.325019	-0.380251	0.252123	-0.188463	-0.599178	0.630449	0.371223	0.840811	-0.598349	0.108404	-0.964552	-0.232145	0.474607
ENSBTAG00000014354	-0.088589	0.543782	-0.060202	-0.231235	0.440399	-0.319638	-0.284518	-0.91168	-0.008998	-0.112382	0.502893	1.08464	-0.349547	-0.204927
ENSBTAG00000014357	-0.088803	-0.752946	-0.274585	0.420539	0.496888	0.123549	0.075356	-0.305179	-1.02071	0.190845	1.06172	0.541305	-0.221408	-0.246576
ENSBTAG00000014359	-0.0457963	-0.603789	-0.0159257	0.386347	-0.015926	0.19886	0.0962317	-0.258067	0.342569	0.554566	0.362182	-0.286453	-0.822931	0.108136
ENSBTAG00000014368	0.00315033	0.565284	-0.227899	-0.458949	0.321653	0.390867	-0.594104	-0.397435	-0.056886	-0.763639	1.1643	-0.056886	0.167429	-0.056886
ENSBTAG00000014370	0.250628	0.64508	0.0870877	-0.353498	-0.0480677	0.138471	-0.719703	-0.62486	-0.275537	0.52376	0.19405	-0.172153	0.160691	0.19405
ENSBTAG00000014374	0.350061	0.789779	-0.561396	-0.234452	-0.202682	0.249809	-0.391119	-0.906501	-0.311419	0.0498083	2.16817	0.242822	-0.587997	-0.654888
ENSBTAG00000014381	0.137504	-0.450358	-0.280083	-0.154319	0.733166	0.00234933	0.01174	0.707019	0.058383	-0.204436	0.0779957	-0.0341617	-0.57064	-0.0341617
ENSBTAG00000014382	0.525887	0.0245273	-1.36177	0.294838	-0.132141	0.571264	0.077396	0.160488	-0.146121	-0.635688	0.223217	-0.861648	0.603914	0.655839
ENSBTAG00000014384	-4.96667e-05	0.433044	0.191738	0.118842	-0.247362	-0.27036	-0.225849	0.111877	0.262539	0.391577	0.0253737	-1.07324	-0.000280667	0.282151
ENSBTAG00000014391	0.19234	0.307882	-0.090092	-0.477809	0.196481	-0.269758	0.140957	0.912278	0.423498	-0.421068	-0.845389	-0.308911	0.490388	-0.250793
ENSBTAG00000014395	0.159346	0.194466	0.566786	0.0755743	-0.216249	-0.573063	-0.206858	0.446227	1.07525	0.0800243	-0.710501	0.105678	-0.174023	-0.822658
ENSBTAG00000014399	0.328404	-0.439126	-0.940486	0.580966	-0.343231	0.193249	0.620227	-0.341693	1.06097	-0.0592613	-0.707897	-0.341693	0.194785	0.194785
ENSBTAG00000014401	-0.0329097	-0.078177	-0.049173	-0.177455	-0.0936837	-0.168065	0.599462	-0.966258	-1.41623	-0.605029	1.23205	0.709906	0.108474	0.937096
ENSBTAG00000014402	0.413682	0.346792	-0.48151	0.465684	-0.71256	0.330529	-0.362619	0.247606	0.144222	-1.02128	-0.00644	-0.288872	0.873084	0.0516773
ENSBTAG00000014406	-1.09571	0.17318	0.0380243	0.343455	0.635278	0.133918	-0.228146	-0.261904	-0.261904	-0.798382	0.274575	0.434009	0.593078	0.0205277
ENSBTAG00000014409	0.352661	0.589716	-0.52102	-1.34932	0.268023	0.718865	-0.058921	-0.580772	0.414455	-0.751046	-0.580772	0.0678637	0.263793	1.16648
ENSBTAG00000014412	0.353086	0.117896	-1.20763	0.035609	-0.0523793	0.409719	0.343695	0.223747	-0.849209	-1.21541	0.702108	0.335905	0.0534727	0.749386
ENSBTAG00000014417	-0.858564	0.275168	0.558197	0.146887	0.00485867	-0.186929	0.0603833	-0.887313	0.194417	0.456448	0.239684	-0.238677	0.474117	-0.238677
ENSBTAG00000014418	-0.355378	0.106721	-0.490533	0.524309	0.412152	-0.259483	0.0622107	0.665432	0.324883	0.299229	0.299229	-0.773727	-0.773727	-0.0413203
ENSBTAG00000014424	-0.531935	0.408635	-0.345396	0.071435	-0.235895	0.528575	0.10458	-0.491003	0.073861	0.131978	0.534254	-0.320728	-0.491003	0.56264
ENSBTAG00000014426	0.590526	-0.992565	-0.038497	0.141169	0.372218	0.061538	-0.134391	-0.560113	0.300519	0.577302	0.45118	0.239184	-0.447956	-0.560113
ENSBTAG00000014429	0.0418083	0.221474	0.147093	-0.606829	0.0648047	0.0580717	0.0735783	0.663085	0.378074	0.706155	-0.191933	-0.2372	-0.924342	-0.393841
ENSBTAG00000014439	0.994252	-0.368206	-0.181667	0.145275	-1.06136	0.229048	0.242655	-1.31511	0.336045	0.932118	0.893201	-0.736913	0.303094	-0.412431
ENSBTAG00000014441	0.218601	0.151093	0.537104	-0.205721	0.436043	-0.453034	-0.684084	-0.356853	0.00935067	-0.186578	0.462057	-0.552782	0.0958537	0.528948
ENSBTAG00000014443	-0.16595	0.210511	0.349016	-0.418512	0.0205883	-0.492894	0.497244	-0.645053	-0.645053	-0.27885	0.998808	-0.449124	0.819761	0.199511
ENSBTAG00000014464	0.148223	0.100521	0.004628	0.582829	-0.117946	-0.150334	-0.567922	-0.212279	0.192728	0.156656	1.14564	-0.0420047	-0.578483	-0.662254
ENSBTAG00000014465	0.00670033	-0.46657	-0.387775	0.891477	0.165803	-0.286148	0.076513	-0.030443	-0.4542	0.672817	0.109287	0.456304	-0.0850263	-0.66874
ENSBTAG00000014466	0.858097	0.305355	0.125689	0.109425	0.148687	-0.658103	-0.889153	0.839356	-0.0268313	-0.197106	0.255601	0.0853263	-0.563309	-0.393035
ENSBTAG00000014467	0.447556	0.10435	-0.371356	0.502323	-0.014542	-0.236201	-0.43213	1.11976	-0.849904	0.33521	1.23789	-0.679629	-1.21611	0.0527777
ENSBTAG00000014470	-0.0967173	0.0668233	0.386894	0.32087	-0.693971	0.173593	-0.157491	0.131714	-1.13717	-0.23449	0.986696	0.1601	0.497917	-0.404764
ENSBTAG00000014476	0.323978	0.615801	-0.482812	-0.482812	0.359098	-0.482813	0.149561	-0.049431	-0.075085	-1.14804	-0.0494307	0.515433	-0.075085	0.881637
ENSBTAG00000014485	-0.0521027	0.118173	0.386998	0.239721	-0.0521027	-0.0521027	-0.588583	0.087674	0.283603	0.453878	1.05773	-0.985282	-0.448804	-0.448804
ENSBTAG00000014486	-0.676158	-0.206567	0.008357	0.287301	0.271794	0.127249	0.188023	-0.633151	-1.12193	-0.219248	0.541545	0.345616	0.85371	0.233458
ENSBTAG00000014488	-0.0703093	-0.471634	-0.205465	1.1071	0.12562	0.256634	-0.741945	-0.478649	0.028098	0.346303	0.0666027	0.0834847	-0.308374	0.262532
ENSBTAG00000014496	0.076747	-0.0739147	-0.61305	-0.477895	0.452903	0.442953	0.192256	-0.383782	-0.336504	-0.862143	-0.467553	-0.23312	1.00797	1.27513
ENSBTAG00000014497	-0.220914	0.843603	-0.40058	0.0263983	-0.0694957	-0.356069	0.17706	-0.262354	-0.628558	0.58221	0.190352	0.078195	0.0200777	0.0200777
ENSBTAG00000014498	-0.003735	0.0476483	-0.117377	-0.67537	0.13142	0.525253	0.092159	-0.479358	-0.113155	-0.309084	0.348325	0.751192	0.281435	-0.479357
ENSBTAG00000014503	0.056928	0.0236733	0.574709	-0.022543	0.181826	-0.228889	-0.585703	0.739081	-0.31748	0.649659	0.218998	-0.401252	-1.22016	0.331155
ENSBTAG00000014506	0.000993	-0.136818	-0.747679	0.763007	-0.416595	0.449594	0.0874967	-0.485766	-0.0999497	-1.08913	1.36772	0.565145	-0.0999497	-0.158067
ENSBTAG00000014511	-0.377954	0.073048	-0.252189	0.003757	-0.133298	0.444341	0.242296	-0.594146	-0.594146	0.431111	0.347339	0.0649073	0.87219	-0.527256
ENSBTAG00000014515	-0.118202	1.08902	-0.253357	0.443932	-0.558787	0.0520737	-0.654682	0.60095	0.788106	-0.114575	-0.480779	0.251628	-0.198347	-0.846982
ENSBTAG00000014517	0.031814	0.24135	-0.124855	0.9115	0.398018	-1.02754	-0.430285	0.369869	0.369869	-0.362538	-0.362538	0.710418	-0.362538	-0.362538
ENSBTAG00000014523	0.41194	-0.952844	0.659252	0.451201	-0.185315	-0.586639	0.202403	0.201645	-0.64292	-0.154141	0.690423	0.17599	0.0894873	-0.360488
ENSBTAG00000014525	-0.082022	0.0686397	-0.49961	0.360463	-0.229299	0.515231	-0.133405	-0.213016	0.764541	0.323462	-0.408945	-0.579219	-0.126513	0.239691
ENSBTAG00000014530	-0.320566	0.274363	-0.089517	0.207473	0.263946	-0.0287433	-0.306959	-0.0769777	-0.484903	0.247504	-0.484903	0.529936	0.642093	-0.372746
ENSBTAG00000014537	-0.543505	0.085518	0.120638	0.326519	0.0761273	0.156515	-0.221813	-1.77537	0.138608	0.0968877	0.941452	0.401427	0.354151	-0.15716
ENSBTAG00000014538	-0.267296	0.185411	0.059647	0.333639	-0.206522	0.11103	-0.215913	-0.69919	-0.134326	-0.69919	0.39942	-0.050555	0.11972	1.06412
ENSBTAG00000014540	0.034429	-0.0226627	-0.0203387	-0.668975	0.077039	0.172933	0.427575	-0.13934	-0.113685	-0.421772	-0.251497	0.615176	0.103866	0.207251
ENSBTAG00000014546	0.0208567	-0.650779	0.0526257	0.177524	-0.380468	0.759381	0.0208563	1.9574	0.268407	-0.393564	0.374915	-0.441264	-1.94488	0.178986
ENSBTAG00000014547	0.780388	-0.11891	-1.28441	-0.381729	0.490465	0.11963	0.394571	0.560145	-0.737126	-0.172262	-0.933055	0.447987	0.922803	-0.088491
ENSBTAG00000014548	0.16887	-0.218847	0.0190747	0.369966	0.304025	0.208131	-0.851221	-0.282838	0.488372	-0.215948	0.124601	0.898731	0.0860967	-1.09902
