Loci	homo_sapiens	rattus_norvegicus	Anc4	bos_taurus	Anc3
ENSG00000162595	4	-2	4	4	4
ENSG00000162594	4	4	4	4	4
ENSG00000169035	4	4	4	4	4
ENSG00000118640	1	0	0	2	2
ENSG00000168488	3	2	2	2	2
ENSG00000182600	4	-2	4	4	4
ENSG00000090776	3	3	3	4	4
ENSG00000115073	2	-2	2	2	2
ENSG00000169031	4	1	4	4	4
ENSG00000253148	4	-2	4	4	4
ENSG00000213853	2	2	2	4	4
ENSG00000029534	0	4	4	4	4
ENSG00000213585	2	4	2	4	4
ENSG00000138696	4	4	4	4	4
ENSG00000138347	4	4	4	4	4
ENSG00000138346	3	2	3	3	3
ENSG00000213588	1	2	1	1	1
ENSG00000213859	0	0	0	1	1
ENSG00000105122	0	4	4	4	4
ENSG00000014216	1	-2	1	0	0
ENSG00000105127	2	1	2	2	2
ENSG00000162413	4	4	4	1	1
ENSG00000102128	4	2	4	4	4
ENSG00000070269	2	3	2	2	2
ENSG00000186566	2	0	0	4	4
ENSG00000125931	4	-2	4	4	4
ENSG00000186562	4	-2	-2	-2	-2
ENSG00000146555	4	4	4	4	4
ENSG00000146223	2	1	1	1	1
ENSG00000146221	4	4	4	-2	4
ENSG00000060709	4	4	4	4	4
ENSG00000051009	1	1	1	3	3
ENSG00000133318	2	2	2	3	3
ENSG00000133317	4	4	4	4	4
ENSG00000133316	0	2	2	3	3
ENSG00000133315	1	4	1	3	3
ENSG00000141027	1	1	1	4	4
ENSG00000133313	2	3	3	0	0
ENSG00000100519	1	-2	1	2	2
ENSG00000198894	1	1	1	1	1
ENSG00000118946	4	-2	4	4	4
ENSG00000198892	1	2	2	4	4
ENSG00000198890	2	-2	2	2	2
ENSG00000162337	3	3	3	4	4
ENSG00000066427	2	2	2	1	1
ENSG00000066422	3	2	2	2	2
ENSG00000172869	0	1	1	1	1
ENSG00000182010	1	2	2	2	2
ENSG00000182013	4	4	4	4	4
ENSG00000157578	1	1	1	2	2
ENSG00000130962	2	2	2	4	4
ENSG00000108064	2	2	2	2	2
ENSG00000157570	4	-1	4	4	4
ENSG00000108061	1	4	1	0	0
ENSG00000087495	4	3	4	4	4
ENSG00000165879	1	2	2	2	2
ENSG00000067082	3	4	3	3	3
ENSG00000204174	4	4	4	4	4
ENSG00000204175	4	4	4	4	4
ENSG00000186442	4	-2	4	4	4
ENSG00000121621	1	0	0	0	0
ENSG00000181938	2	1	2	2	2
ENSG00000164659	2	2	2	2	2
ENSG00000142449	4	-2	4	4	4
ENSG00000174428	4	-2	4	2	2
ENSG00000174429	4	4	4	4	4
ENSG00000178372	4	4	4	4	4
ENSG00000132388	2	3	3	3	3
ENSG00000181284	3	3	3	3	3
ENSG00000179213	4	-2	4	4	4
ENSG00000164654	2	2	2	2	2
ENSG00000181935	4	-2	4	4	4
ENSG00000149187	2	2	2	1	1
ENSG00000154274	4	4	4	4	4
ENSG00000176490	4	4	4	4	4
ENSG00000187135	4	4	4	4	4
ENSG00000161021	1	2	2	4	4
ENSG00000102230	4	1	4	4	4
ENSG00000155265	4	4	4	4	4
ENSG00000149182	2	1	1	1	1
ENSG00000213316	4	4	4	0	0
ENSG00000073464	3	4	4	4	4
ENSG00000101977	4	4	4	4	4
ENSG00000101974	4	4	4	4	4
ENSG00000101972	3	3	3	4	4
ENSG00000269404	4	4	4	4	4
ENSG00000007516	4	4	4	4	4
ENSG00000072736	1	1	1	1	1
ENSG00000215644	4	4	4	4	4
ENSG00000105829	4	1	1	2	2
ENSG00000119508	4	0	4	4	4
ENSG00000116574	4	-2	4	4	4
ENSG00000130349	2	3	3	3	3
ENSG00000130348	1	1	1	1	1
ENSG00000054654	2	3	3	4	3
ENSG00000151923	2	2	2	2	2
ENSG00000005001	4	4	4	4	4
ENSG00000130340	2	-2	2	4	4
ENSG00000180881	4	4	4	4	4
ENSG00000005007	2	2	2	2	2
ENSG00000099949	2	1	1	1	1
ENSG00000165309	4	4	4	4	4
ENSG00000178573	4	4	4	4	4
ENSG00000107562	4	1	4	4	4
ENSG00000151012	2	1	1	1	1
ENSG00000107560	1	1	1	1	1
ENSG00000151014	0	4	0	1	1
ENSG00000107566	1	1	1	2	2
ENSG00000099942	2	2	2	0	0
ENSG00000196639	4	4	4	4	4
ENSG00000145850	4	4	4	4	4
ENSG00000101608	1	-2	1	1	1
ENSG00000154548	4	4	4	4	4
ENSG00000174136	3	1	3	3	3
ENSG00000174137	1	2	2	-2	2
ENSG00000196535	1	4	1	0	0
ENSG00000174132	2	2	2	2	2
ENSG00000154001	2	-2	2	1	1
ENSG00000174130	4	0	0	4	4
ENSG00000125304	1	0	0	0	0
ENSG00000198791	1	1	1	1	1
ENSG00000197959	1	4	1	2	2
ENSG00000198793	1	1	1	4	4
ENSG00000198794	3	4	4	4	4
ENSG00000198795	3	2	3	3	3
ENSG00000198796	4	4	4	4	4
ENSG00000187689	4	4	4	4	4
ENSG00000197953	4	4	4	-2	4
ENSG00000197776	1	2	2	2	2
ENSG00000175550	0	1	1	1	1
ENSG00000175556	3	-2	3	3	3
ENSG00000197771	1	2	2	2	2
ENSG00000145384	4	4	4	4	4
ENSG00000161682	4	3	4	2	2
ENSG00000153714	3	2	3	3	3
ENSG00000103260	4	3	4	4	4
ENSG00000145386	2	1	2	2	2
ENSG00000113430	4	-2	4	4	4
ENSG00000085978	1	2	2	2	2
ENSG00000140319	2	2	2	2	2
ENSG00000169248	1	4	4	4	4
ENSG00000133169	4	4	4	-2	4
ENSG00000169247	2	4	2	2	2
ENSG00000076321	2	2	2	4	4
ENSG00000169242	3	4	4	4	4
ENSG00000169241	1	1	1	1	1
ENSG00000089048	1	1	1	1	1
ENSG00000183864	1	4	4	4	4
ENSG00000183862	4	-2	4	4	4
ENSG00000089041	2	2	2	2	2
ENSG00000141543	1	0	1	1	1
ENSG00000237353	4	4	4	-2	4
ENSG00000100285	4	3	4	4	4
ENSG00000164691	4	4	4	4	4
ENSG00000167680	0	0	0	1	1
ENSG00000124217	1	-2	1	1	1
ENSG00000124214	2	2	2	4	4
ENSG00000205978	2	3	3	4	4
ENSG00000124212	3	3	3	3	3
ENSG00000167685	1	1	1	0	1
ENSG00000013364	3	0	3	3	3
ENSG00000111341	1	4	4	-2	4
ENSG00000000005	4	4	4	4	4
ENSG00000111344	4	1	1	0	0
ENSG00000185272	4	1	1	2	2
ENSG00000161970	1	2	1	2	2
ENSG00000117228	2	4	-2	2	-2
ENSG00000135447	4	4	4	4	4
ENSG00000135446	2	3	2	4	2
ENSG00000135441	3	3	3	2	2
ENSG00000079215	4	3	4	4	4
ENSG00000082014	2	4	2	3	3
ENSG00000117222	1	2	1	1	1
ENSG00000185133	4	4	4	4	4
ENSG00000185130	0	0	0	-2	0
ENSG00000117226	2	4	2	2	2
ENSG00000136425	1	2	2	4	4
ENSG00000229544	4	4	4	4	4
ENSG00000138604	2	4	2	0	0
ENSG00000169020	1	1	1	1	1
ENSG00000152382	2	2	2	2	2
ENSG00000160087	3	1	3	4	4
ENSG00000036054	1	1	1	2	2
ENSG00000104903	4	0	4	4	4
ENSG00000213203	2	4	4	4	4
ENSG00000105464	4	4	4	3	3
ENSG00000095110	4	4	4	-2	4
ENSG00000105467	0	1	0	0	0
ENSG00000002587	4	4	4	4	4
ENSG00000002586	3	3	3	3	3
ENSG00000048649	3	2	2	2	2
ENSG00000137834	4	4	4	4	4
ENSG00000150873	1	2	2	0	0
ENSG00000118418	3	2	2	2	2
ENSG00000139053	4	4	4	3	3
ENSG00000269948	4	-1	4	1	1
ENSG00000160883	4	4	4	4	4
ENSG00000160882	4	-2	4	4	4
ENSG00000110169	4	4	4	4	4
ENSG00000173908	4	4	4	4	4
ENSG00000197991	4	4	4	4	4
ENSG00000160888	3	2	3	4	4
ENSG00000106384	4	-2	4	4	4
ENSG00000177954	2	2	2	2	2
ENSG00000143858	4	4	4	4	4
ENSG00000177951	0	0	0	1	1
ENSG00000143669	1	4	4	4	4
ENSG00000102805	3	0	3	1	1
ENSG00000102804	0	0	0	0	0
ENSG00000198242	0	2	2	4	4
ENSG00000198535	3	4	3	3	3
ENSG00000144810	0	0	0	0	0
ENSG00000198246	1	1	1	4	4
ENSG00000143845	1	-2	1	4	4
ENSG00000144815	2	2	2	2	2
ENSG00000092140	2	0	0	0	0
ENSG00000147548	1	2	2	-2	2
ENSG00000135914	3	4	3	3	3
ENSG00000135913	0	4	4	4	4
ENSG00000105605	4	4	4	4	4
ENSG00000105607	1	4	1	1	1
ENSG00000014919	1	1	1	1	1
ENSG00000125347	2	2	2	2	2
ENSG00000034693	0	1	1	1	1
ENSG00000166337	2	2	2	2	2
ENSG00000164104	3	4	1	1	1
ENSG00000135919	4	4	4	4	4
ENSG00000176595	4	1	1	0	0
ENSG00000176396	2	4	2	2	2
ENSG00000178395	4	4	4	4	4
ENSG00000176390	1	4	1	2	2
ENSG00000176393	2	2	2	0	0
ENSG00000164879	4	0	4	4	4
ENSG00000176399	3	4	4	4	4
ENSG00000064932	3	4	3	2	2
ENSG00000064933	1	2	1	1	1
ENSG00000215183	0	4	4	4	4
ENSG00000132694	1	0	0	4	4
ENSG00000136936	2	2	2	2	2
ENSG00000177963	0	1	0	0	0
ENSG00000136930	2	1	2	2	2
ENSG00000083635	2	2	2	2	2
ENSG00000136932	1	1	1	2	2
ENSG00000136933	1	3	3	0	0
ENSG00000181704	3	1	1	1	1
ENSG00000149499	1	1	1	1	1
ENSG00000132698	4	4	4	4	4
ENSG00000178904	0	2	0	0	0
ENSG00000171180	4	-2	4	4	4
ENSG00000069011	4	4	4	4	4
ENSG00000163673	4	4	4	4	4
ENSG00000102879	1	2	2	4	4
ENSG00000167536	2	3	3	4	4
ENSG00000168374	1	2	2	2	2
ENSG00000189134	4	4	4	-2	4
ENSG00000167535	1	0	1	1	1
ENSG00000241058	2	1	1	1	1
ENSG00000166484	2	-2	2	1	1
ENSG00000188886	4	4	4	4	4
ENSG00000182240	4	4	4	2	2
ENSG00000166483	3	2	3	3	3
ENSG00000166482	4	-2	4	4	4
ENSG00000166897	4	4	4	4	4
ENSG00000222014	4	2	2	2	2
ENSG00000128652	4	4	4	4	4
ENSG00000003989	4	1	4	4	4
ENSG00000186951	4	4	4	1	1
