Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSRNOG00000047160	0.198043	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	0.396084	-0.066014	-0.066014	-0.066014	-0.066014	-0.066014	-0.066014
ENSRNOG00000047172	-0.330514	0.280347	0.549172	0.26674	0.819482	-0.195359	-1.38987	0.165035	0.300191	0.0691417	0.02988	0.53124	-0.432218	-0.663267
ENSRNOG00000047175	0.390067	0.267492	0.0238633	-0.5163	-0.0473287	-0.114975	-0.002818	-0.799183	0.0291193	0.0291193	0.408931	0.199394	0.33455	-0.20193
ENSRNOG00000047179	-0.122039	-0.159815	-0.278707	0.244165	-0.278707	0.327937	0.267163	-0.0146397	-0.0890207	-0.698396	0.360955	0.129906	0.181289	0.129906
ENSRNOG00000047222	0.388125	-0.132849	-0.299774	0.159536	-0.143106	0.05385	-0.0257807	-0.845867	0.423021	0.510476	-1.07692	-0.113458	0.483795	0.61895
ENSRNOG00000047223	-0.031627	-0.218167	-0.413145	0.212757	-0.211099	-0.151494	0.812775	0.528824	-0.252311	-0.98472	-0.98472	0.209787	0.104502	1.37864
ENSRNOG00000047229	-0.090367	-0.225522	0.298835	-0.395797	-0.245135	0.42141	0.236577	0.3242	0.345713	0.114664	0.345713	0.0402827	-0.883914	-0.286661
ENSRNOG00000047247	-0.504773	0.183125	-0.504773	0.260432	0.188373	0.218245	0.159369	-0.153882	0.247442	0.456978	-0.384932	-0.0795013	0.202931	-0.289038
ENSRNOG00000047258	-0.200201	-0.393474	0.0916223	0.030848	0.118303	0.27067	0.0822313	0.0341907	-0.698218	-0.698218	0.130084	0.130084	0.435515	0.666564
ENSRNOG00000047271	-1.38767	0.394704	0.455478	0.208166	0.545366	-0.118777	-0.097266	-0.629669	-0.263465	0.891781	0.0634783	0.137859	0.429683	-0.629669
ENSRNOG00000047279	-0.544472	0.283834	0.640647	-0.544472	0.223058	0.485878	-0.544472	-0.203651	-0.203651	-0.203651	-0.203651	0.624652	0.393602	-0.203651
ENSRNOG00000047295	0.0970833	0.235005	-0.169086	-0.085314	0.0970833	-0.089455	-0.085314	0.602484	-0.129926	0.236279	-0.0691517	-0.53125	1.02007	-1.1285
ENSRNOG00000047296	-0.178408	-0.43097	-0.0404863	-0.0404863	0.293947	0.0895793	0.306827	0.304078	-0.136507	0.264817	0.168923	-0.598606	-0.598606	0.595901
ENSRNOG00000047300	0.00171167	-0.50842	-0.0046	0.306276	-0.133443	0.188868	0.149607	-0.554037	0.213493	-0.232343	0.695798	-0.052677	0.409423	-0.479655
ENSRNOG00000047307	0.270151	-0.36929	-0.222012	0.238381	0.440427	0.037284	-0.394944	-0.116977	1.11679	0.881601	-0.653456	-0.653456	-0.152096	-0.422407
ENSRNOG00000047312	0.230239	-0.173741	0.349131	0.190978	0.98199	0.0343103	-1.61291	0.242804	-0.450343	0.548235	-0.219294	-0.1234	0.452341	-0.450343
ENSRNOG00000047322	0.019629	0.325059	-0.041145	0.106132	0.344249	-0.115526	-0.638399	0.781798	0.919685	-0.107279	-0.316815	-0.085766	-0.778914	-0.412709
ENSRNOG00000047343	-0.284656	0.0132837	0.228826	0.509554	-0.009096	-0.313659	-0.144251	0.725132	-0.583017	0.284547	0.61149	0.088618	-0.312706	-0.814066
ENSRNOG00000047368	-0.111032	-0.276057	0.116828	-0.185413	0.215911	0.707608	-0.467846	-0.438809	-0.900907	0.846342	0.197706	-0.534703	0.389494	0.440877
ENSRNOG00000047402	-0.290122	0.463799	-0.03756	-0.409014	-0.177965	0.49367	-0.0428097	-0.664249	-0.0669957	-0.4332	0.581641	-0.0156123	0.395102	0.203315
ENSRNOG00000047406	0.11085	-0.672942	-0.114949	0.339243	0.572949	-0.210843	-0.0243047	0.663913	0.489497	-0.203651	0.0273987	-0.299544	-0.338806	-0.338806
ENSRNOG00000047419	-0.0559993	-0.13563	-0.0397363	-0.226274	0.270943	0.0561587	0.130539	-0.711852	-0.480803	0.971435	0.569158	0.286726	-0.615958	-0.0187047
ENSRNOG00000047433	-0.360241	0.192501	0.513439	-0.395361	-0.164312	0.574213	-0.360242	-1.0262	-0.428944	-0.428944	0.807556	0.107536	0.399359	0.569634
ENSRNOG00000047439	-0.266409	0.680654	0.160569	0.307847	-0.219242	-0.816497	0.153078	0.259028	0.503684	-0.338225	0.368529	-0.569275	-0.70443	0.480686
ENSRNOG00000047446	-0.371799	0.360611	0.00652867	0.498692	-0.231393	-0.157012	-0.105629	-0.323869	0.539553	-0.363131	-0.323869	-0.132082	-0.227976	0.831376
ENSRNOG00000047448	0.160234	0.197308	-0.436131	0.185404	0.165536	-0.03215	-0.2402	-0.566975	0.800555	0.746432	-0.0332683	0.290228	-0.00293167	-1.23404
ENSRNOG00000047455	0.104887	-0.00461467	-0.0438753	-0.127647	0.065626	0.177784	-0.172157	0.0204377	-0.0403367	-0.441661	0.0204373	0.155593	-0.210612	0.496143
ENSRNOG00000047457	-0.203662	0.066649	-0.0563837	0.197663	-0.399591	0.332818	0.0625077	0.0716223	-0.75668	-0.0242713	0.302672	0.167516	0.302672	-0.063533
ENSRNOG00000047463	-1.29453	0.516224	0.352684	0.375681	-0.0649047	-0.0649047	0.179752	-0.618293	0.576214	0.858646	-0.618293	0.210009	-0.618293	0.210009
ENSRNOG00000047468	-0.738035	0.133212	-0.214296	0.100524	0.184595	0.382957	0.151041	-0.275274	-0.275274	0.823339	-0.0442247	-0.275274	-0.275274	0.32198
ENSRNOG00000047469	0.213537	0.482362	0.482362	-0.322943	0.271522	0.0595257	-1.18637	-0.196105	-0.697465	0.683581	0.101835	1.03073	0.23699	-1.15956
ENSRNOG00000047481	-0.007617	-0.0203573	0.255202	0.196943	-0.60487	0.493744	-0.313047	-0.20193	-0.664028	-0.337085	0.238656	-0.127548	0.430444	0.661493
ENSRNOG00000047513	0.192477	0.0795093	-0.343326	0.270351	0.35525	-0.545371	-0.00889167	-0.438345	0.158908	0.621006	-0.123524	-0.0276303	-0.25868	0.0682637
ENSRNOG00000047514	-0.528024	0.181386	0.427942	-0.0145427	0.261017	-0.432131	0.104349	-0.0762803	-0.137055	-0.368104	-0.172174	0.899299	-0.538379	0.39269
ENSRNOG00000047521	-0.408086	0.237202	-0.151382	0.214822	-0.0648787	-0.0256177	0.197941	0.54669	0.621071	-0.101947	-0.930249	-0.101947	-0.162721	0.129103
ENSRNOG00000047526	0.428491	-0.221631	0.100062	-0.474194	-0.474194	0.335058	0.306409	-0.268536	0.403099	0.0368947	0.097669	-0.268536	-0.194154	0.193563
ENSRNOG00000047545	0.407115	0.352942	0.163485	0.309735	-0.556343	-0.0975947	-0.579341	0.258316	0.56036	0.142772	-0.162658	-0.540984	-0.043766	-0.214041
ENSRNOG00000047578	-0.000339667	0.600266	0.103045	-0.329101	-0.485769	0.250323	-0.138422	-0.417058	-0.281903	1.00618	0.0235267	-0.417058	0.097908	-0.011593
ENSRNOG00000047596	-0.11851	-0.264839	-0.026299	0.087837	0.216872	0.099466	0.00547133	0.230319	0.3047	-0.322424	-0.784522	-0.248042	0.27483	0.54514
ENSRNOG00000047598	-0.133844	0.271781	0.083708	-0.522428	-0.34847	0.448659	0.20059	0.733697	0.745261	0.573086	-0.3066	-0.206565	-0.560647	-0.978234
ENSRNOG00000047605	0.473236	0.321657	-0.246592	-0.037056	0.30615	-0.561413	-0.255983	0.95899	-0.074707	0.282107	-0.536804	-0.536804	-0.345017	0.252236
ENSRNOG00000047606	0.14331	-0.133117	0.33924	0.684945	-0.595215	-0.193891	-0.245274	-0.647847	-0.342417	-0.342417	1.08314	0.254837	0.411504	-0.416798
ENSRNOG00000047633	-0.119458	-0.46415	0.111591	0.403414	-0.424889	0.111591	0.381901	0.419492	-0.579086	0.249217	-0.0210933	-0.714241	0.762698	-0.116988
ENSRNOG00000047639	-0.360005	-0.360005	-0.360005	0.699349	1.10068	-0.360005	-0.360005	-0.175661	-0.175661	-0.175661	0.286437	0.591867	-0.175661	-0.175661
ENSRNOG00000047647	0.387994	0.619043	-0.20926	-0.0741037	-0.209259	-0.209259	-0.305154	-0.0598677	-0.0598677	0.550993	-0.290917	-0.521966	-0.155762	0.537386
ENSRNOG00000047673	-0.0285273	-0.198802	-0.00701467	-0.089301	0.337677	0.224033	-0.238063	0.52164	0.176949	-0.381044	-0.747248	-0.149994	0.267593	0.312104
ENSRNOG00000047692	-0.15328	-0.15328	-0.15328	-0.15328	-0.15328	-0.15328	0.919681	-0.132028	-0.132028	-0.132028	-0.132028	-0.132028	-0.132028	0.792169
ENSRNOG00000047700	0.375365	-0.357043	0.144317	0.122804	-0.00866833	0.245379	-0.522151	0.696812	-0.593589	0.309095	0.173939	0.330608	-0.458434	-0.458434
ENSRNOG00000047711	0.0860323	-1.39267	0.0305683	0.418092	0.235498	0.400124	0.222355	1.9617	0.44038	-0.178385	-0.640484	-0.57971	-0.102103	-0.901403
ENSRNOG00000047712	0.149013	0.149013	0.074632	0.053119	0.335552	-0.91034	0.149013	-0.513663	0.0835903	-0.282614	-0.051565	-0.282614	0.732227	0.314639
ENSRNOG00000047726	-0.017018	-0.164447	0.0156417	0.009663	0.25941	0.105557	-0.208806	-1.04911	-0.238768	0.447395	0.573695	0.986925	0.102182	-0.822321
ENSRNOG00000047730	0.545311	0.338964	0.434859	0.239525	-0.444827	-0.0717503	-1.04208	-0.736834	0.0914687	-0.37063	0.16585	0.301005	0.592828	-0.0436867
ENSRNOG00000047736	0.0270343	0.0391567	0.22908	-0.097703	0.319884	-0.117511	-0.399944	-0.247284	0.520245	-0.0162347	0.581019	-0.709382	0.34997	-0.478333
ENSRNOG00000047738	-0.32199	-0.0909413	0.772482	0.667197	-0.55304	-0.919245	0.445538	0.184343	-0.41291	0.049188	0.184343	0.319499	-0.41291	0.0884497
ENSRNOG00000047739	0.164239	0.0210993	0.185257	-0.248454	-0.010672	0.335646	-0.447115	0.180327	0.128944	0.931592	0.530268	-0.699359	-0.603465	-0.46831
ENSRNOG00000047752	0.17416	0.883574	-0.266425	-1.07173	0.022742	0.157897	0.0997793	-0.634528	-0.268324	0.233036	0.499205	-0.634528	-0.0372747	0.842411
ENSRNOG00000047761	-0.0453093	0.266128	0.541688	-0.478403	0.0795893	-0.286615	-0.077078	0.252613	1.08092	-0.180482	-0.681842	0.220842	-0.241256	-0.450793
ENSRNOG00000047787	0.315529	-0.0916943	-0.411903	-0.203852	-0.203852	0.410421	0.185351	0.0534443	0.262981	0.0534443	-0.31276	-0.774858	0.358875	0.358875
ENSRNOG00000047816	-0.10463	-0.10463	-0.10463	0.627781	-0.10463	-0.10463	-0.10463	-0.170644	-0.170644	-0.170644	1.02386	-0.170644	-0.170644	-0.170644
ENSRNOG00000047840	-0.052315	-0.052315	-0.052315	-0.052315	-0.052315	-0.052315	0.313891	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	0.198042
ENSRNOG00000047848	-0.10463	-0.10463	-0.10463	-0.10463	0.627781	-0.10463	-0.10463	-0.066014	-0.066014	-0.066014	-0.066014	0.396084	-0.066014	-0.066014
ENSRNOG00000047852	0.082435	0.443885	-0.206731	0.008055	-0.16222	-0.414782	0.249361	-0.036841	-0.0761023	0.229328	0.229328	0.499638	-0.0761023	-0.76925
ENSRNOG00000047860	0.160477	-0.115082	0.734732	0.19912	0.025322	-0.301621	-0.702945	-0.297779	0.0684257	0.919109	-0.162624	-0.528828	0.16432	-0.162623
ENSRNOG00000047876	-0.426922	0.0865593	0.273098	0.479444	0.197012	-0.025598	-0.583591	-0.302672	0.0635323	0.294581	0.159426	-0.071623	-0.302672	0.159426
