OG_NAME	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
OG6329_2	0	4	4	4	4	0	0	0	4	4	4
OG5458_2	0	4	4	4	4	0	0	0	4	4	4
OG3936_3	0	4	4	4	4	0	0	0	4	4	4
OG4053_2	0	4	4	4	4	0	0	0	4	4	4
OG779_1	0	4	4	4	4	0	0	0	4	4	4
OG5406_2	0	4	2	4	4	0	0	0	4	4	4
OG524_1	0	3	1	3	4	0	0	0	4	4	4
OG4412_2	0	4	0	4	4	0	0	0	4	4	4
OG15638_1	0	4	0	4	4	0	0	0	4	4	4
OG8377_1	0	4	0	4	4	0	0	0	4	4	4
OG6332_2	0	4	0	4	4	0	0	0	4	4	4
OG5447_1	0	4	0	4	4	0	0	0	4	4	4
OG5610_2	0	4	1	4	5	0	0	0	5	4	4
OG2237_2	0	4	1	1	4	0	0	0	4	4	4
OG3134_1	0	2	0	2	4	0	0	0	4	4	4
AT5G18130	0	0	0	4	4	1	1	1	4	4	4
OG7352_2	0	0	0	4	4	0	0	0	4	4	4
OG10335_2	0	0	0	4	4	0	0	0	4	4	4
OG6379_2	0	0	0	4	4	0	0	0	4	4	4
OG4274_2	0	0	1	4	5	0	0	0	5	4	4
OG6012_1	0	0	1	4	5	0	0	0	5	4	4
OG5727_2	0	0	2	4	4	0	0	0	4	4	4
OG3513_3	0	0	4	4	4	0	0	0	5	4	4
OG1252_1	0	0	4	4	4	0	0	0	4	4	4
OG1800_2	0	0	4	4	4	0	0	0	4	4	4
OG3074_1	0	0	4	4	4	0	0	0	4	4	4
OG5616_2	0	0	4	4	4	0	0	0	4	4	4
OG6440_2	0	0	4	4	4	0	0	0	4	4	4
OG11002_1	0	0	4	4	4	0	0	0	4	4	4
OG10179_1	0	0	4	4	4	0	0	0	4	4	4
OG6375_2	0	0	4	4	4	0	0	0	4	4	4
OG5007_1	0	0	4	4	4	0	0	0	4	4	4
OG3048_1	0	0	4	4	4	0	0	0	4	4	4
OG1359_3	0	0	4	4	4	0	0	0	4	4	4
OG4589_1	0	1	4	4	4	0	0	0	4	4	4
OG1167_2	0	0	4	4	4	1	0	1	4	4	4
AT3G03870	0	0	4	4	4	0	0	1	4	4	4
AT2G17220	0	0	4	4	4	0	1	1	4	4	4
AT5G59450	0	0	4	4	4	0	1	1	4	4	4
AT3G26130	0	0	4	4	5	0	0	2	4	4	4
OG10310_1	0	0	4	4	4	2	0	2	2	4	4
