Gene	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT1G68720	0	4	2	2	1	2	2	2	2	2	2
AT5G20930	0	2	2	2	1	2	2	2	2	2	2
AT2G36680	0	2	-1	2	1	2	2	2	2	2	2
AT4G38040	0	2	0	2	1	2	2	2	2	2	2
AT3G56140	0	2	0	2	1	2	2	2	2	2	2
AT5G59710	0	2	1	2	1	2	2	2	2	2	2
AT5G62360	-1	2	1	2	1	2	2	2	2	2	2
DUMMY508	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG1337_2	4	2	2	2	4	-1	-1	-1	4	4	4
OG13557_1	-1	2	4	2	4	-1	-1	-1	4	4	4
OG13384_1	-1	2	0	2	4	-1	-1	-1	4	4	4
OG6290_1	0	2	-1	2	4	-1	-1	-1	4	4	4
OG501_2	0	2	0	2	4	-1	-1	1	4	4	4
DUMMY511	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G38810	2	7	0	7	0	7	0	7	7	7	7
AT4G15000	7	7	0	7	0	7	0	7	7	7	7
AT1G72960	7	7	-1	7	0	7	0	7	7	7	7
AT3G08690	7	7	-1	7	0	7	0	7	7	7	7
AT5G65360	-1	7	-1	7	0	7	0	7	7	7	7
AT3G52020	-1	7	0	7	0	6	0	7	7	7	7
DUMMY519	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G24280	-1	7	-1	7	7	0	3	7	7	7	7
OG6137_2	-1	7	-1	7	7	0	-1	7	7	7	7
OG5195_2	-1	7	-1	7	7	0	-1	7	7	7	7
AT3G21840	-1	7	-1	7	-1	0	0	7	7	7	7
ATCG00130	-1	7	-1	7	-1	0	7	7	7	7	7
OG7344_2	-1	7	-1	7	-1	0	-1	7	7	7	7
OG1386_3	-1	7	-1	7	-1	0	-1	7	7	7	7
OG5518_2	2	7	-1	7	-1	0	-1	7	7	7	7
OG4502_2	7	7	-1	7	-1	2	-1	7	7	7	7
OG5401_2	7	7	-1	7	-1	2	-1	7	7	7	7
OG1838_3	-1	7	-1	7	-1	2	-1	7	7	7	7
OG11252_1	-1	7	-1	7	-1	2	-1	7	7	7	7
OG4996_2	-1	7	0	7	-1	2	-1	7	7	7	7
DUMMY520	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT3G62830	-1	7	0	7	-1	2	7	7	7	7	3
AT3G02770	-1	7	-1	7	-1	-1	7	7	7	7	3
AT4G13180	-1	7	-1	7	-1	-1	7	7	7	7	7
AT2G33370	-1	7	1	7	-1	-1	7	7	7	7	7
AT3G55120	-1	7	0	7	-1	-1	7	7	7	7	7
AT1G20225	-1	7	0	7	-1	-1	7	7	7	7	7
AT1G79230	-1	7	0	7	-1	-1	7	7	7	7	5
AT5G08030	-1	7	0	7	-1	-1	6	7	7	7	7
DUMMY521	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G46180	1	-1	-1	-1	-1	4	2	4	1	4	1
AT5G10940	1	-1	-1	-1	-1	4	2	4	4	4	1
OG3612_2	3	-1	-1	-1	-1	4	-1	4	4	4	1
OG7198_2	1	-1	-1	-1	-1	4	-1	4	4	4	1
OG3442_1	1	-1	-1	-1	-1	4	-1	4	4	4	2
OG1226_1	1	-1	-1	-1	-1	4	-1	4	4	4	4
OG7450_2	1	-1	-1	-1	-1	4	-1	4	4	4	4
OG6270_2	1	-1	-1	-1	-1	4	-1	4	4	4	4
AT5G02830	1	-1	-1	-1	-1	4	0	4	4	4	4
OG4698_2	1	-1	-1	-1	4	4	-1	4	4	4	4
DUMMY522	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G22540	-1	0	0	1	0	-1	1	1	1	1	1
AT3G03650	-1	0	0	1	0	1	1	1	1	1	1
AT1G24620	2	0	0	1	0	1	1	1	1	1	1
AT5G60335	1	-1	0	1	0	1	1	1	1	1	1
AT3G28180	1	0	0	1	0	4	1	1	1	1	1
AT5G24890	1	0	0	1	0	4	1	4	1	1	1
DUMMY523	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG1983_3	-1	-1	-1	-1	2	4	-1	2	2	2	3
OG4020_2	0	-1	-1	-1	2	2	-1	2	2	2	3
OG5151_1	0	-1	-1	-1	2	2	-1	2	2	2	2
OG3043_1	3	-1	-1	-1	2	2	-1	2	2	2	5
OG2467_1	3	-1	-1	-1	2	4	-1	2	2	2	2
DUMMY525	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G68560	3	7	7	5	5	3	5	5	5	5	5
AT3G48870	3	-1	0	5	5	3	5	5	5	5	5
AT2G44120	3	5	2	5	5	3	5	5	5	5	5
AT3G11250	3	5	3	5	5	3	5	5	5	5	5
AT2G05840	3	-1	3	5	-1	3	5	5	5	5	5
DUMMY528	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG4045_2	2	-1	0	2	-1	3	-1	3	2	2	2
OG6922_2	-1	-1	0	2	-1	3	-1	3	2	2	2
OG3442_3	-1	-1	0	2	-1	3	-1	3	3	2	2
AT5G55400	-1	-1	0	2	-1	3	1	3	3	2	2
OG5724_2	-1	-1	2	2	-1	3	-1	3	3	2	2
OG6062_2	-1	-1	2	2	-1	2	-1	3	3	2	2
DUMMY535	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G01860	4	0	2	2	0	4	0	4	4	4	4
AT4G00960	-1	0	2	2	0	4	0	1	4	4	4
AT1G52910	-1	0	2	2	-1	4	0	4	4	4	4
OG2240_2	-1	0	2	2	0	4	-1	4	4	4	4
OG1471_1	-1	2	2	2	0	4	-1	4	4	4	4
DUMMY537	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT3G03870	-1	-1	2	2	2	0	0	1	2	2	2
AT2G17220	-1	-1	2	2	2	0	1	1	2	2	2
AT5G59450	-1	-1	2	2	2	-1	1	1	2	2	2
AT4G21120	-1	-1	2	2	2	-1	1	2	2	2	2
AT5G18130	-1	-1	-1	2	2	1	1	1	2	2	2
DUMMY538	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G80600	7	5	0	5	7	7	7	7	7	7	7
AT4G16155	7	5	5	5	3	7	7	7	7	7	7
AT3G46440	7	5	5	5	2	7	7	7	7	7	7
AT5G47840	3	5	5	5	7	7	7	7	7	7	7
AT5G59290	-1	-1	5	5	7	7	7	7	7	7	7
DUMMY539	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G50460	-1	-1	0	2	-1	-1	4	4	4	2	3
AT1G52700	-1	-1	0	2	-1	-1	4	4	4	2	2
AT3G15680	-1	2	2	2	-1	-1	4	4	4	2	2
AT1G25520	-1	-1	2	2	-1	-1	4	4	4	2	2
AT2G21940	-1	-1	1	1	-1	-1	4	4	4	2	2
DUMMY542	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG10666_1	3	-1	4	2	2	-1	-1	-1	2	2	2
OG5727_2	-1	-1	4	2	2	-1	-1	-1	2	2	2
OG7706_2	-1	-1	4	4	2	-1	-1	-1	2	2	2
OG1283_1	0	-1	4	4	2	-1	-1	-1	2	2	2
OG4021_2	-1	0	4	4	2	-1	-1	-1	2	2	2
OG2556_1	-1	4	4	4	0	-1	-1	-1	2	2	2
DUMMY556	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT4G10440	3	3	3	3	0	0	0	3	3	4	3
AT2G31985	3	3	2	3	0	0	0	3	3	3	3
AT4G18920	3	3	4	3	0	0	0	3	3	3	3
AT3G01450	3	3	4	3	0	3	0	3	3	3	3
AT4G16680	3	3	-1	3	0	-1	0	3	3	3	3
DUMMY561	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G47790	0	4	4	4	0	0	4	2	2	4	4
AT2G47210	0	4	4	4	2	0	4	2	2	4	4
AT2G06925	0	4	4	4	2	0	1	2	2	4	4
AT1G17530	0	4	4	4	2	2	1	2	2	4	4
AT3G47890	0	4	4	4	2	2	1	2	2	4	1
DUMMY562	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G65970	3	-1	-1	-1	-1	-1	3	5	5	5	5
AT1G47250	3	-1	-1	-1	0	-1	3	5	5	5	5
AT5G16570	3	-1	-1	-1	0	5	3	5	5	5	5
OG1049_3	3	-1	-1	-1	0	5	-1	5	5	5	5
OG6652_2	3	-1	-1	-1	-1	5	-1	5	5	5	5
AT3G45940	3	-1	-1	-1	5	5	0	5	5	5	5
AT3G20520	3	-1	-1	5	0	5	0	5	5	5	5
DUMMY586	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G46290	7	7	7	7	-1	-1	1	7	7	7	7
AT1G52730	7	7	7	7	-1	-1	2	7	7	7	7
AT1G09140	7	7	7	7	0	-1	2	7	7	7	7
AT4G27890	7	7	7	7	0	-1	0	7	7	7	7
AT4G25000	7	7	0	7	0	-1	1	7	7	7	7
AT5G16290	7	7	0	7	2	-1	7	7	7	7	7
AT5G46180	7	7	7	7	2	-1	7	7	7	7	7
AT3G28500	7	7	2	7	2	-1	1	7	7	7	7
