Loci	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT5G02460	-2	-2	-2	-2	-2	0	0	0	0	0	0
AT3G55370	-2	-2	-2	-2	-1	0	0	0	0	0	0
OG200_7	-2	-2	-2	-2	-1	0	-2	0	0	0	0
OG202_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT5G13080	-2	-2	-2	-2	-1	-1	0	0	0	0	0
AT3G01970	-2	-2	-2	-2	0	0	0	0	0	0	0
OG202_6	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
AT1G69310	-2	-2	-2	-2	0	-2	0	0	0	0	0
OG235_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT5G65040	-2	-2	-2	-2	-1	-1	-1	0	0	0	0
AT5G47060	-2	-1	0	0	3	-2	0	0	3	0	0
OG235_5	-2	-2	-1	0	-2	-2	-2	-2	-2	0	0
AT5G05390	1	0	-1	0	0	-1	0	0	0	0	0
AT5G60020	5	0	-1	1	0	3	0	3	0	0	0
AT5G58910	-2	0	1	0	-1	3	-1	3	0	0	0
AT5G01190	-2	0	0	0	-1	0	0	0	0	0	0
AT2G38080	-2	-2	-2	-2	-2	-1	0	0	0	0	0
AT1G79770	-2	-2	-2	-2	-2	-2	0	0	0	0	0
OG278_2	-2	-2	-2	-2	-2	0	-2	0	0	0	0
AT4G14819	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
AT5G20670	-2	-2	-2	-2	-2	0	-1	0	0	0	0
AT2G09970	-2	-2	-2	-2	3	-1	-1	3	3	0	0
AT1G72510	-2	-2	-2	-2	-1	-2	0	3	3	0	0
OG279_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT5G42200	-2	-2	-2	-2	-2	-2	0	0	3	0	0
AT3G24040	-1	-2	-2	-2	-2	3	3	3	3	0	0
AT3G15350	-1	-2	-2	-2	-1	0	0	0	0	0	0
AT5G15050	0	-1	0	0	-1	3	0	3	3	0	0
