OG78_0	c2_ABHD14B,c4_ABHD14B,c1_ABHD14B,c3_ABHD14B
OG79_0	c2_ABHD15,c4_ABHD15,c1_ABHD15,c3_ABHD15
OG80_0	c2_ABHD16A,c4_ABHD16A,c1_ABHD16A,c3_ABHD16A
OG81_0	c2_ABHD17A,c4_ABHD17A,c1_ABHD17A,c3_ABHD17A
OG82_0	c2_ABHD17B,c4_ABHD17B,c1_ABHD17B,c3_ABHD17B
OG83_0	c2_ABHD17C,c4_ABHD17C,c1_ABHD17C,c3_ABHD17C
OG84_0	c2_ABHD18,c4_ABHD18,c1_ABHD18,c3_ABHD18
OG85_0	c2_ABHD2,c4_ABHD2,c1_ABHD2,c3_ABHD2
OG86_0	c2_ABHD3,c4_ABHD3,c1_ABHD3,c3_ABHD3
OG87_0	c2_ABHD4,c4_ABHD4,c1_ABHD4,c3_ABHD4
OG88_0	c2_ABHD5,c4_ABHD5,c1_ABHD5,c3_ABHD5
OG89_0	c2_ABHD6,c4_ABHD6,c1_ABHD6,c3_ABHD6
OG90_0	c2_ABHD8,c4_ABHD8,c1_ABHD8,c3_ABHD8
OG91_0	c2_ABI1,c4_ABI1,c1_ABI1,c3_ABI1
OG92_0	c2_ABI2,c4_ABI2,c1_ABI2,c3_ABI2
OG93_0	c2_ABI3BP,c4_ABI3BP,c1_ABI3BP,c3_ABI3BP
OG94_0	c2_ABL1,c4_ABL1,c1_ABL1,c3_ABL1
OG95_0	c2_ABL2,c4_ABL2,c1_ABL2,c3_ABL2
OG96_0	c2_ABLIM1,c4_ABLIM1,c1_ABLIM1,c3_ABLIM1
OG97_0	c2_ABLIM2,c4_ABLIM2,c1_ABLIM2,c3_ABLIM2
OG98_0	c2_ABLIM3,c4_ABLIM3,c1_ABLIM3,c3_ABLIM3
OG99_0	c2_ABO,c4_ABO,c1_ABO,c3_ABO
OG100_0	c2_ABR,c4_ABR,c1_ABR,c3_ABR
OG101_0	c2_ABRACL,c4_ABRACL,c1_ABRACL,c3_ABRACL
OG102_0	c2_ABRAXAS1,c4_ABRAXAS1,c1_ABRAXAS1,c3_ABRAXAS1
OG103_0	c2_ABRAXAS2,c4_ABRAXAS2,c1_ABRAXAS2,c3_ABRAXAS2
OG104_0	c2_ABT1,c4_ABT1,c1_ABT1,c3_ABT1
OG105_0	c2_ABTB1,c4_ABTB1,c1_ABTB1,c3_ABTB1
OG106_0	c2_ABTB2,c4_ABTB2,c1_ABTB2,c3_ABTB2
OG107_0	c2_AC000068.1,c4_AC000068.1,c1_AC000068.1,c3_AC000068.1
OG108_0	c2_AC000068.2,c4_AC000068.2,c1_AC000068.2,c3_AC000068.2
OG109_0	c2_AC000068.3,c4_AC000068.3,c1_AC000068.3,c3_AC000068.3
OG110_0	c2_AC000093.1,c4_AC000093.1,c1_AC000093.1,c3_AC000093.1
OG111_0	c2_AC000403.1,c4_AC000403.1,c1_AC000403.1,c3_AC000403.1
OG112_0	c2_AC001226.1,c4_AC001226.1,c1_AC001226.1,c3_AC001226.1
OG113_0	c2_AC001226.2,c4_AC001226.2,c1_AC001226.2,c3_AC001226.2
OG114_0	c2_AC002070.1,c4_AC002070.1,c1_AC002070.1,c3_AC002070.1
OG115_0	c2_AC002074.1,c4_AC002074.1,c1_AC002074.1,c3_AC002074.1
OG116_0	c2_AC002076.1,c4_AC002076.1,c1_AC002076.1,c3_AC002076.1
OG117_0	c2_AC002306.1,c4_AC002306.1,c1_AC002306.1,c3_AC002306.1
OG118_0	c2_AC002310.1,c4_AC002310.1,c1_AC002310.1,c3_AC002310.1
OG119_0	c2_AC002310.2,c4_AC002310.2,c1_AC002310.2,c3_AC002310.2
OG120_0	c2_AC002351.1,c4_AC002351.1,c1_AC002351.1,c3_AC002351.1
OG121_0	c2_AC002401.4,c4_AC002401.4,c1_AC002401.4,c3_AC002401.4
OG122_0	c2_AC002429.2,c4_AC002429.2,c1_AC002429.2,c3_AC002429.2
OG123_0	c2_AC002456.1,c4_AC002456.1,c1_AC002456.1,c3_AC002456.1
OG124_0	c2_AC002467.1,c4_AC002467.1,c1_AC002467.1,c3_AC002467.1
OG125_0	c2_AC002470.1,c4_AC002470.1,c1_AC002470.1,c3_AC002470.1
OG126_0	c2_AC002480.2,c4_AC002480.2,c1_AC002480.2,c3_AC002480.2
OG127_0	c2_AC002480.3,c4_AC002480.3,c1_AC002480.3,c3_AC002480.3
OG128_0	c2_AC002550.1,c4_AC002550.1,c1_AC002550.1,c3_AC002550.1
OG129_0	c2_AC002550.2,c4_AC002550.2,c1_AC002550.2,c3_AC002550.2
OG130_0	c2_AC002553.1,c4_AC002553.1,c1_AC002553.1,c3_AC002553.1
OG131_0	c2_AC002553.2,c4_AC002553.2,c1_AC002553.2,c3_AC002553.2
OG132_0	c2_AC003002.3,c4_AC003002.3,c1_AC003002.3,c3_AC003002.3
OG133_0	c2_AC003005.2,c4_AC003005.2,c1_AC003005.2,c3_AC003005.2
OG134_0	c2_AC003035.1,c4_AC003035.1,c1_AC003035.1,c3_AC003035.1
OG135_0	c2_AC003087.1,c4_AC003087.1,c1_AC003087.1,c3_AC003087.1
OG136_0	c2_AC003102.1,c4_AC003102.1,c1_AC003102.1,c3_AC003102.1
OG137_0	c2_AC003681.1,c4_AC003681.1,c1_AC003681.1,c3_AC003681.1
OG138_0	c2_AC003682.1,c4_AC003682.1,c1_AC003682.1,c3_AC003682.1
OG139_0	c2_AC003965.1,c4_AC003965.1,c1_AC003965.1,c3_AC003965.1
OG140_0	c2_AC003991.1,c4_AC003991.1,c1_AC003991.1,c3_AC003991.1
OG141_0	c2_AC004023.1,c4_AC004023.1,c1_AC004023.1,c3_AC004023.1
OG142_0	c2_AC004034.1,c4_AC004034.1,c1_AC004034.1,c3_AC004034.1
OG143_0	c2_AC004039.1,c4_AC004039.1,c1_AC004039.1,c3_AC004039.1
OG144_0	c2_AC004069.1,c4_AC004069.1,c1_AC004069.1,c3_AC004069.1
OG145_0	c2_AC004076.2,c4_AC004076.2,c1_AC004076.2,c3_AC004076.2
OG146_0	c2_AC004130.1,c4_AC004130.1,c1_AC004130.1,c3_AC004130.1
OG147_0	c2_AC004147.2,c4_AC004147.2,c1_AC004147.2,c3_AC004147.2
OG148_0	c2_AC004148.2,c4_AC004148.2,c1_AC004148.2,c3_AC004148.2
OG149_0	c2_AC004156.1,c4_AC004156.1,c1_AC004156.1,c3_AC004156.1
OG150_0	c2_AC004221.1,c4_AC004221.1,c1_AC004221.1,c3_AC004221.1
OG151_0	c2_AC004223.2,c4_AC004223.2,c1_AC004223.2,c3_AC004223.2
OG152_0	c2_AC004223.4,c4_AC004223.4,c1_AC004223.4,c3_AC004223.4
OG153_0	c2_AC004231.1,c4_AC004231.1,c1_AC004231.1,c3_AC004231.1
OG154_0	c2_AC004233.3,c4_AC004233.3,c1_AC004233.3,c3_AC004233.3
OG155_0	c2_AC004233.4,c4_AC004233.4,c1_AC004233.4,c3_AC004233.4
OG156_0	c2_AC004241.1,c4_AC004241.1,c1_AC004241.1,c3_AC004241.1
OG157_0	c2_AC004257.1,c4_AC004257.1,c1_AC004257.1,c3_AC004257.1
OG158_0	c2_AC004264.1,c4_AC004264.1,c1_AC004264.1,c3_AC004264.1
OG159_0	c2_AC004466.1,c4_AC004466.1,c1_AC004466.1,c3_AC004466.1
OG160_0	c2_AC004477.3,c4_AC004477.3,c1_AC004477.3,c3_AC004477.3
OG161_0	c2_AC004490.1,c4_AC004490.1,c1_AC004490.1,c3_AC004490.1
OG162_0	c2_AC004492.1,c4_AC004492.1,c1_AC004492.1,c3_AC004492.1
OG163_0	c2_AC004494.1,c4_AC004494.1,c1_AC004494.1,c3_AC004494.1
OG164_0	c2_AC004520.1,c4_AC004520.1,c1_AC004520.1,c3_AC004520.1
OG165_0	c2_AC004522.2,c4_AC004522.2,c1_AC004522.2,c3_AC004522.2
OG166_0	c2_AC004528.1,c4_AC004528.1,c1_AC004528.1,c3_AC004528.1
OG167_0	c2_AC004540.1,c4_AC004540.1,c1_AC004540.1,c3_AC004540.1
OG168_0	c2_AC004540.2,c4_AC004540.2,c1_AC004540.2,c3_AC004540.2
OG169_0	c2_AC004542.2,c4_AC004542.2,c1_AC004542.2,c3_AC004542.2
